CustomerID,Name,Email,PhoneNumber,RegistrationDate
1,Customer1,customer1@example.com,09128489952,2024-05-07 18:20:34
2,Customer2,customer2@example.com,09128531596,2024-12-23 18:20:34
3,Customer3,customer3@example.com,09121824561,2024-11-29 18:20:34
4,Customer4,customer4@example.com,09127925946,2024-08-01 18:20:34
5,Customer5,customer5@example.com,09128059595,2024-03-30 18:20:34
6,Customer6,customer6@example.com,09128169668,2024-11-24 18:20:34
7,Customer7,customer7@example.com,09126611646,2024-05-26 18:20:34
8,Customer8,customer8@example.com,09124593468,2024-03-05 18:20:34
9,Customer9,customer9@example.com,09123164642,2024-05-10 18:20:34
10,Customer10,customer10@example.com,09123213002,2024-05-07 18:20:34
11,Customer11,customer11@example.com,09123825773,2024-12-25 18:20:34
12,Customer12,customer12@example.com,09127298400,2024-04-19 18:20:34
13,Customer13,customer13@example.com,09122402546,2024-10-20 18:20:34
14,Customer14,customer14@example.com,09125736379,2024-03-27 18:20:34
15,Customer15,customer15@example.com,09125009599,2024-02-27 18:20:34
16,Customer16,customer16@example.com,09124309862,2024-09-01 18:20:34
17,Customer17,customer17@example.com,09121874595,2024-06-15 18:20:34
18,Customer18,customer18@example.com,09123121028,2024-12-16 18:20:34
19,Customer19,customer19@example.com,09123586029,2024-08-09 18:20:34
20,Customer20,customer20@example.com,09125767215,2024-04-23 18:20:34
21,Customer21,customer21@example.com,09122009882,2024-11-28 18:20:34
22,Customer22,customer22@example.com,09129126925,2024-12-16 18:20:34
23,Customer23,customer23@example.com,09121537990,2024-02-09 18:20:34
24,Customer24,customer24@example.com,09129005627,2024-01-10 18:20:34
25,Customer25,customer25@example.com,09128307409,2024-08-30 18:20:34
26,Customer26,customer26@example.com,09125734383,2024-01-29 18:20:34
27,Customer27,customer27@example.com,09127020459,2024-11-03 18:20:34
28,Customer28,customer28@example.com,09124455393,2024-12-27 18:20:34
29,Customer29,customer29@example.com,09122641749,2024-04-12 18:20:34
30,Customer30,customer30@example.com,09128204476,2024-11-18 18:20:34
31,Customer31,customer31@example.com,09127151432,2024-02-11 18:20:34
32,Customer32,customer32@example.com,09125825644,2024-12-01 18:20:34
33,Customer33,customer33@example.com,09125098091,2024-05-13 18:20:34
34,Customer34,customer34@example.com,09123415818,2024-11-16 18:20:34
35,Customer35,customer35@example.com,09126327864,2024-09-11 18:20:34
36,Customer36,customer36@example.com,09124009538,2024-11-07 18:20:34
37,Customer37,customer37@example.com,09129513804,2024-05-03 18:20:34
38,Customer38,customer38@example.com,09124449061,2024-09-19 18:20:34
39,Customer39,customer39@example.com,09123606303,2024-07-19 18:20:34
40,Customer40,customer40@example.com,09121433495,2024-02-13 18:20:34
41,Customer41,customer41@example.com,09124753635,2024-12-21 18:20:34
42,Customer42,customer42@example.com,09125235968,2024-04-26 18:20:34
43,Customer43,customer43@example.com,09124865085,2024-11-30 18:20:34
44,Customer44,customer44@example.com,09126279001,2024-06-17 18:20:34
45,Customer45,customer45@example.com,09129944995,2024-04-17 18:20:34
46,Customer46,customer46@example.com,09121907114,2024-11-04 18:20:34
47,Customer47,customer47@example.com,09126375322,2024-09-26 18:20:34
48,Customer48,customer48@example.com,09125134807,2024-03-16 18:20:34
49,Customer49,customer49@example.com,09129455972,2024-03-15 18:20:34
50,Customer50,customer50@example.com,09129604805,2024-07-24 18:20:34
51,Customer51,customer51@example.com,09128478426,2024-02-28 18:20:34
52,Customer52,customer52@example.com,09122542946,2024-10-31 18:20:34
53,Customer53,customer53@example.com,09127268968,2024-12-10 18:20:34
54,Customer54,customer54@example.com,09124789057,2024-06-27 18:20:34
55,Customer55,customer55@example.com,09127944523,2024-11-29 18:20:34
56,Customer56,customer56@example.com,09121494198,2024-03-22 18:20:34
57,Customer57,customer57@example.com,09125506061,2024-07-15 18:20:34
58,Customer58,customer58@example.com,09123886235,2024-06-23 18:20:34
59,Customer59,customer59@example.com,09126361882,2024-10-16 18:20:34
60,Customer60,customer60@example.com,09123741371,2024-09-02 18:20:34
61,Customer61,customer61@example.com,09122800302,2024-09-27 18:20:34
62,Customer62,customer62@example.com,09121511398,2024-02-19 18:20:34
63,Customer63,customer63@example.com,09123999488,2024-04-18 18:20:34
64,Customer64,customer64@example.com,09127978249,2024-03-07 18:20:34
65,Customer65,customer65@example.com,09121229045,2024-08-18 18:20:34
66,Customer66,customer66@example.com,09129930384,2024-03-26 18:20:34
67,Customer67,customer67@example.com,09129751071,2024-06-26 18:20:34
68,Customer68,customer68@example.com,09127690875,2024-08-16 18:20:34
69,Customer69,customer69@example.com,09125463764,2024-01-08 18:20:34
70,Customer70,customer70@example.com,09126077739,2024-02-01 18:20:34
71,Customer71,customer71@example.com,09128218277,2024-12-25 18:20:34
72,Customer72,customer72@example.com,09126913127,2024-03-29 18:20:34
